t,x=0.00,x=0.05,x=0.10,x=0.15,x=0.20,x=0.25,x=0.30,x=0.35,x=0.40,x=0.45,x=0.50,x=0.55,x=0.60,x=0.65,x=0.70,x=0.75,x=0.80,x=0.85,x=0.90,x=0.95,x=1.00
0.084000,0.00000000,0.06209847,0.12265605,0.18017241,0.23322663,0.28051330,0.32087442,0.35332651,0.37708259,0.39156894,0.39643673,0.39156894,0.37708259,0.35332651,0.32087442,0.28051330,0.23322663,0.18017241,0.12265605,0.06209847,0.00000000
0.085000,0.00000000,0.06148211,0.12143956,0.17838755,0.23091961,0.27774308,0.31771081,0.34984811,0.37337470,0.38772152,0.39254250,0.38772152,0.37337470,0.34984811,0.31771081,0.27774308,0.23091961,0.17838755,0.12143956,0.06148211,0.00000000
0.086000,0.00000000,0.06087225,0.12023578,0.17662118,0.22863617,0.27500078,0.31457864,0.34640382,0.36970279,0.38391118,0.38868571,0.38391118,0.36970279,0.34640382,0.31457864,0.27500078,0.22863617,0.17662118,0.12023578,0.06087225,0.00000000
0.087000,0.00000000,0.06026876,0.11904453,0.17487302,0.22637602,0.27228608,0.31147757,0.34299333,0.36606656,0.38013764,0.38486609,0.38013764,0.36606656,0.34299333,0.31147757,0.27228608,0.22637602,0.17487302,0.11904453,0.06026876,0.00000000
0.088000,0.00000000,0.05967156,0.11786562,0.17314282,0.22413884,0.26959865,0.30840728,0.33961632,0.36246570,0.37640059,0.38108333,0.37640059,0.36246570,0.33961632,0.30840728,0.26959865,0.22413884,0.17314282,0.11786562,0.05967156,0.00000000
0.089000,0.00000000,0.05908056,0.11669888,0.17143035,0.22192436,0.26693818,0.30536744,0.33627246,0.35889990,0.37269973,0.37733713,0.37269973,0.35889990,0.33627246,0.30536744,0.26693818,0.22192436,0.17143035,0.11669888,0.05908056,0.00000000
0.090000,0.00000000,0.05849566,0.11554414,0.16973536,0.21973228,0.26430436,0.30235774,0.33296143,0.35536885,0.36903476,0.37362721,0.36903476,0.35536885,0.33296143,0.30235774,0.26430436,0.21973228,0.16973536,0.11554414,0.05849566,0.00000000
0.091000,0.00000000,0.05791679,0.11440124,0.16805764,0.21756234,0.26169688,0.29937786,0.32968293,0.35187225,0.36540538,0.36995325,0.36540538,0.35187225,0.32968293,0.29937786,0.26169688,0.21756234,0.16805764,0.11440124,0.05791679,0.00000000
0.092000,0.00000000,0.05734385,0.11327002,0.16639696,0.21541428,0.25911546,0.29642750,0.32643663,0.34840977,0.36181127,0.36631495,0.36181127,0.34840977,0.32643663,0.29642750,0.25911546,0.21541428,0.16639696,0.11327002,0.05734385,0.00000000
0.093000,0.00000000,0.05677678,0.11215033,0.16475311,0.21328782,0.25655980,0.29350633,0.32322223,0.34498112,0.35825214,0.36271201,0.35825214,0.34498112,0.32322223,0.29350633,0.25655980,0.21328782,0.16475311,0.11215033,0.05677678,0.00000000
0.094000,0.00000000,0.05621549,0.11104202,0.16312588,0.21118273,0.25402962,0.29061408,0.32003943,0.34158597,0.35472768,0.35914412,0.35472768,0.34158597,0.32003943,0.29061408,0.25402962,0.21118273,0.16312588,0.11104202,0.05621549,0.00000000
0.095000,0.00000000,0.05565991,0.10994495,0.16151508,0.20909875,0.25152465,0.28775044,0.31688791,0.33822404,0.35123757,0.35561097,0.35123757,0.33822404,0.31688791,0.28775044,0.25152465,0.20909875,0.16151508,0.10994495,0.05565991,0.00000000
0.096000,0.00000000,0.05510996,0.10885898,0.15992050,0.20703564,0.24904460,0.28491511,0.31376737,0.33489500,0.34778152,0.35211225,0.34778152,0.33489500,0.31376737,0.28491511,0.24904460,0.20703564,0.15992050,0.10885898,0.05510996,0.00000000
0.097000,0.00000000,0.05456559,0.10778398,0.15834195,0.20499317,0.24658922,0.28210781,0.31067752,0.33159855,0.34435920,0.34864766,0.34435920,0.33159855,0.31067752,0.28210781,0.24658922,0.20499317,0.15834195,0.10778398,0.05456559,0.00000000
0.098000,0.00000000,0.05402671,0.10671981,0.15677925,0.20297110,0.24415824,0.27932826,0.30761805,0.32833440,0.34097033,0.34521690,0.34097033,0.32833440,0.30761805,0.27932826,0.24415824,0.20297110,0.15677925,0.10671981,0.05402671,0.00000000
0.099000,0.00000000,0.05349327,0.10566635,0.15523221,0.20096921,0.24175139,0.27657617,0.30458867,0.32510223,0.33761458,0.34181964,0.33761458,0.32510223,0.30458867,0.27657617,0.24175139,0.20096921,0.15523221,0.10566635,0.05349327,0.00000000
0.100000,0.00000000,0.05296519,0.10462346,0.15370067,0.19898728,0.23936843,0.27385126,0.30158909,0.32190175,0.33429167,0.33845559,0.33429167,0.32190175,0.30158909,0.27385126,0.23936843,0.19898728,0.15370067,0.10462346,0.05296519,0.00000000
