t,x=0.00,x=0.05,x=0.10,x=0.15,x=0.20,x=0.25,x=0.30,x=0.35,x=0.40,x=0.45,x=0.50,x=0.55,x=0.60,x=0.65,x=0.70,x=0.75,x=0.80,x=0.85,x=0.90,x=0.95,x=1.00
0.042000,0.00000000,0.09827066,0.19337703,0.28239274,0.36282799,0.43275663,0.49085405,0.53634541,0.56888273,0.58838416,0.59487702,0.58838416,0.56888273,0.53634541,0.49085405,0.43275663,0.36282799,0.28239274,0.19337703,0.09827066,0.00000000
0.043000,0.00000000,0.09704067,0.19100638,0.27904545,0.35871630,0.42810790,0.48587769,0.53120657,0.56368836,0.58318422,0.58968022,0.58318422,0.56368836,0.53120657,0.48587769,0.42810790,0.35871630,0.27904545,0.19100638,0.09704067,0.00000000
0.044000,0.00000000,0.09584424,0.18869741,0.27577815,0.35469065,0.42353905,0.48096532,0.52611067,0.55851625,0.57799157,0.58448526,0.57799157,0.55851625,0.52611067,0.48096532,0.42353905,0.35469065,0.27577815,0.18869741,0.09584424,0.00000000
0.045000,0.00000000,0.09467935,0.18644649,0.27258631,0.35074654,0.41904649,0.47611502,0.52105781,0.55336847,0.57280967,0.57929611,0.57280967,0.55336847,0.52105781,0.47611502,0.41904649,0.35074654,0.27258631,0.18644649,0.09467935,0.00000000
0.046000,0.00000000,0.09354414,0.18425024,0.26946573,0.34687977,0.41462689,0.47132501,0.51604809,0.54824687,0.56764164,0.57411634,0.56764164,0.54824687,0.51604809,0.47132501,0.41462689,0.34687977,0.26946573,0.18425024,0.09354414,0.00000000
0.047000,0.00000000,0.09243687,0.18210555,0.26641253,0.34308648,0.41027718,0.46659361,0.51108155,0.54315312,0.56249032,0.56894922,0.56249032,0.54315312,0.51108155,0.46659361,0.41027718,0.34308648,0.26641253,0.18210555,0.09243687,0.00000000
0.048000,0.00000000,0.09135593,0.18000954,0.26342309,0.33936306,0.40599451,0.46191927,0.50615819,0.53808872,0.55735827,0.56379769,0.55735827,0.53808872,0.50615819,0.46191927,0.40599451,0.33936306,0.26342309,0.18000954,0.09135593,0.00000000
0.049000,0.00000000,0.09029985,0.17795951,0.26049410,0.33570622,0.40177623,0.45730054,0.50127801,0.53305503,0.55224780,0.55866440,0.55224780,0.53305503,0.50127801,0.45730054,0.40177623,0.33570622,0.26049410,0.17795951,0.09029985,0.00000000
0.050000,0.00000000,0.08926725,0.17595300,0.25762247,0.33211287,0.39761988,0.45273604,0.49644095,0.52805323,0.54716100,0.55355178,0.54716100,0.52805323,0.49644095,0.45273604,0.39761988,0.33211287,0.25762247,0.17595300,0.08926725,0.00000000
0.051000,0.00000000,0.08825685,0.17398771,0.25480534,0.32858016,0.39352319,0.44822450,0.49164695,0.52308439,0.54209975,0.54846199,0.54209975,0.52308439,0.49164695,0.44822450,0.39352319,0.32858016,0.25480534,0.17398771,0.08825685,0.00000000
